Time	Worker	TD	mu	PLoss	ELoss	VLoss
1100	0	-0.02762824296951294	0.07600612193346024	-0.009326889179646969	-0.021968888118863106	0.0003816598909907043
1100	2	-0.023791134357452393	0.17339104413986206	-0.0179884135723114	-0.021970659494400024	0.0002830090234056115
1200	0	-0.34570154547691345	0.012572181411087513	-0.019187601283192635	-0.021971698850393295	0.05975477769970894
1200	1	-0.028283238410949707	1.3984653949737549	-0.17358824610710144	-0.021971778944134712	0.00039997079875320196
1200	2	-0.280997097492218	2.2053471033044724e-29	-2.735828925911694e-29	-0.021971775218844414	0.039479684084653854
1200	2	-0.5356752872467041	1.7751792825670794e-27	-4.201346455016768e-27	-0.021971791982650757	0.1434740126132965
1200	2	-0.789233922958374	1.4295808001763026e-25	-4.987094333297991e-25	-0.021971719339489937	0.31144508719444275
1200	2	-1.0346564054489136	1.1446252308071846e-23	-5.2430911158038125e-23	-0.021971728652715683	0.5352569222450256
1200	2	-1.2538679838180542	9.23865179272408e-22	-5.117154950135404e-21	-0.02197159454226494	0.7860924601554871
1200	2	-1.4777157306671143	7.505497005436248e-20	-4.891304560675994e-19	-0.02197176404297352	1.0918219089508057
1200	2	-1.680961012840271	6.113495790093315e-18	-4.533826568239898e-17	-0.02197193168103695	1.412814974784851
1200	2	-1.8778893947601318	4.975441663384314e-16	-4.123583392063798e-15	-0.021971678361296654	1.763234257698059
1200	2	-2.063380718231201	4.0190060918809336e-14	-3.666474404900172e-13	-0.021971741691231728	2.128770112991333
1200	2	-2.2440779209136963	3.2847766015155133e-12	-3.245271412710693e-11	-0.021971644833683968	2.5179429054260254
1200	2	-2.414125919342041	2.662686720738066e-10	-2.835867762840394e-09	-0.021971719339489937	2.914001941680908
1200	2	-2.5734310150146484	2.1946386714636444e-08	-2.4940936782513745e-07	-0.02197163924574852	3.3112735748291016
1200	2	-2.7356529235839844	1.7859448797893119e-06	-2.1557398213190027e-05	-0.021971775218844414	3.741898536682129
1200	2	-2.8820817470550537	0.00014565527221089246	-0.0018539710436016321	-0.021971825510263443	4.153197765350342
1200	2	-3.0885748863220215	0.011979696340858936	-0.16345974802970886	-0.021971754729747772	4.769647598266602
1400	0	-0.18540777266025543	0.012912327944121671	-0.010463439859449863	-0.021970534697175026	0.017188021913170815
1400	0	-0.43561121821403503	0.01213294267654419	-0.02330106310546398	-0.02197025716304779	0.09487856924533844
1400	1	-0.26322662830352783	0.08401241898536682	-0.09762835502624512	-0.021970149129629135	0.03464413061738014
1500	0	-0.19870859384536743	1.0695769786834717	-0.9313209056854248	-0.021970415487885475	0.019742552191019058
1500	1	-0.1927317976951599	1.086183786392212	-0.9212349653244019	-0.021970078349113464	0.018572773784399033
1600	0	-0.2111133486032486	1.0371748208999634	-0.9610539674758911	-0.021941857412457466	0.02228442206978798
1600	1	-0.22308668494224548	0.8654813850608534	-0.85035240650177	-0.021948469802737236	0.024883834645152092
1600	1	-0.42501208186149597	0.9964095950126648	-1.858076810836792	-0.02194378711283207	0.09031763672828674
1700	0	-0.24125826358795166	1.1138490442469475	-1.1734344959259033	-0.02187410369515419	0.02910277433693409
1700	0	-0.4536517858505249	1.0552676916122437	-2.0959360599517822	-0.021885527297854424	0.10289996862411499
1700	1	-0.24683725833892822	1.2328588499630655	-1.3233718872070312	-0.02188981883227825	0.03046431578695774
1700	1	-0.46072590351104736	1.1049675941467285	-2.206145763397217	-0.021891629323363304	0.10613417625427246
1700	2	-0.25023767352104187	1.0566203594207764	-1.1528507471084595	-0.021896401420235634	0.031309448182582855
1800	1	-0.25191301107406616	0.01303818915039301	-0.01415430847555399	-0.02176067791879177	0.031730081886053085
1800	2	-0.2485443651676178	0.013158826157450676	-0.014028577134013176	-0.02174636721611023	0.030887151136994362
1900	0	-0.26627540588378906	0.00014784646572366805	-0.00017715050489641726	-0.02176268771290779	0.03545129671692848
1900	0	-0.5034673810005188	0.012942101806402206	-0.028246155008673668	-0.02174883522093296	0.12673969566822052
1900	1	-0.26754263043403625	0.014036141335964203	-0.01609876938164234	-0.021800696849822998	0.03578953072428703
1900	2	-0.266975998878479	0.014262632466852665	-0.016339348629117012	-0.02176658809185028	0.03563809022307396
2000	0	-0.23727881908416748	0.1824301202810208	-0.1854318380355835	-0.02176981419324875	0.028150618076324463
2000	0	-0.45015662908554077	0.15641461312770844	-0.43516427278518677	-0.02175285294651985	0.10132049769163132
2000	1	-0.2314334660768509	0.5858484804176811	-0.5841312408447266	-0.021762503311038017	0.02678072452545166
2000	1	-0.4422050714492798	0.9739315509796143	-1.8551920652389526	-0.02176940068602562	0.09777266532182693
2000	2	-0.22284658253192902	1.1540881395339966	-1.1124918460845947	-0.02177588641643524	0.024830300360918045
2100	1	-0.2504872679710388	0.01212884858250618	-0.01342872716486454	-0.02169329859316349	0.031371936202049255
2100	2	-0.2518633008003235	0.012456140480935574	-0.0139161990955472	-0.021687908098101616	0.031717561185359955
2200	0	-0.2501716613769531	0.012202926672091774	-0.01302536204457283	-0.021674947813153267	0.031292930245399475
2200	0	-0.486168771982193	0.011890189722180367	-0.025863928720355034	-0.021682826802134514	0.1181800365447998
2200	1	-0.25054827332496643	0.014844705666398887	-0.016624949872493744	-0.021713273599743843	0.031387217342853546
2200	1	-0.4796040654182434	1.2908984353106234	-2.6218979358673096	-0.021668272092938423	0.11501003056764603
2200	1	-0.6999325752258301	1.0744134187698364	-3.201733112335205	-0.021703381091356277	0.24495279788970947
2200	2	-0.24668946862220764	0.013790307706989302	-0.01520554255694151	-0.021720020100474358	0.030427847057580948
2200	2	-0.4736314117908478	1.1739753484725952	-2.382153034210205	-0.02168903686106205	0.11216335743665695
2300	0	-0.24533617496490479	0.01536480014295305	-0.015780065208673477	-0.0215187668800354	0.030094919726252556
2300	0	-0.4709044396877289	0.01292862069816314	-0.025593815371394157	-0.02151690609753132	0.11087549477815628
2300	0	-0.6974943280220032	0.01171067077666521	-0.036534249782562256	-0.021549781784415245	0.24324916303157806
2300	1	-0.25404998660087585	0.0001764655078275515	-0.00031102506909519434	-0.021541809663176537	0.03227069601416588
2300	1	-0.47310876846313477	0.15399259328842163	-0.4581116735935211	-0.021558040753006935	0.1119159534573555
